id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.district,children_count.county,children_count.subcounty,zip_codes,geo.lat,geo.lon
UG306901,3,County,County,Pokot,Pokot,pokot-ug306901,UG306901,,UG3069,Amudat,Amudat,,,,4,,1.825,34.93
UG3070,2,District,District,Amuru,Amuru,amuru-ug3070,UG3070,,UG3,Northern,Northern,,,1,5,,3.128,32.105
UG307001,3,County,County,Kilak,Kilak,kilak-ug307001,UG307001,,UG3070,Amuru,Amuru,,,,5,,3.128,32.105
UG3071,2,District,District,Apac,Apac,apac-ug3071,UG3071,,UG3,Northern,Northern,,,2,8,,1.931,32.502
UG307101,3,County,County,Apac Municipality,Apac Municipality,apac-municipality-ug307101,UG307101,,UG3071,Apac,Apac,,,,4,,1.968,32.543
UG307102,3,County,County,Maruzi,Maruzi,maruzi-ug307102,UG307102,,UG3071,Apac,Apac,,,,4,,1.931,32.422
UG3072,2,District,District,Arua,Arua,arua-ug3072,UG3072,,UG3,Northern,Northern,,,4,19,,2.998,31.015
UG307201,3,County,County,Arua Municipality,Arua Municipality,arua-municipality-ug307201,UG307201,,UG3072,Arua,Arua,,,,2,,3.019,30.917
UG307202,3,County,County,Ayivu,Ayivu,ayivu-ug307202,UG307202,,UG3072,Arua,Arua,,,,6,,3.048,30.854
UG307203,3,County,County,Terego,Terego,terego-ug307203,UG307203,,UG3072,Arua,Arua,,,,7,,3.18,31.172
UG307204,3,County,County,Vurra,Vurra,vurra-ug307204,UG307204,,UG3072,Arua,Arua,,,,4,,2.834,30.96
UG3073,2,District,District,Dokolo,Dokolo,dokolo-ug3073,UG3073,,UG3,Northern,Northern,,,1,11,,1.907,33.076
UG307301,3,County,County,Dokolo,Dokolo,dokolo-ug307301,UG307301,,UG3073,Dokolo,Dokolo,,,,11,,1.907,33.076
UG3074,2,District,District,Gulu,Gulu,gulu-ug3074,UG3074,,UG3,Northern,Northern,,,2,10,,3.019,32.388
